filename,classification,ann_type,x1,y1,x2,y2,label,polygon_pts,note
extreme_pain_01.png,extreme_pain,bbox,92,8,300,237,extreme_pain,,
extreme_pain_01.png,extreme_pain,polygon,,,,,extreme_pain,"[[92, 98], [92, 172], [132, 238], [246, 238], [299, 157], [299, 69], [257, 8], [158, 6], [92, 50], [93, 99], [93, 171]]",
extreme_pain_02.png,extreme_pain,bbox,88,9,294,238,extreme_pain,,
extreme_pain_02.png,extreme_pain,polygon,,,,,extreme_pain,"[[89, 78], [88, 169], [139, 238], [246, 239], [294, 169], [293, 55], [243, 9], [137, 13], [89, 78]]",
extreme_pain_03.png,extreme_pain,bbox,93,8,287,236,extreme_pain,,
extreme_pain_03.png,extreme_pain,polygon,,,,,extreme_pain,"[[93, 55], [95, 187], [145, 234], [251, 235], [288, 163], [288, 52], [243, 10], [134, 9], [94, 55]]",
extreme_pain_04.png,extreme_pain,bbox,98,10,295,236,extreme_pain,,
extreme_pain_04.png,extreme_pain,polygon,,,,,extreme_pain,"[[97, 179], [98, 81], [147, 236], [249, 237], [296, 141], [257, 11], [144, 14], [99, 82]]",
mild_pain_01.png,mild_pain,bbox,90,11,295,233,mild_pain,,
mild_pain_01.png,mild_pain,polygon,,,,,mild_pain,"[[91, 78], [90, 192], [141, 232], [254, 228], [294, 131], [256, 13], [132, 11], [90, 78]]",
mild_pain_02.png,mild_pain,bbox,103,10,295,228,mild_pain,,
mild_pain_02.png,mild_pain,polygon,,,,,mild_pain,"[[103, 43], [103, 169], [155, 228], [257, 231], [296, 164], [263, 11], [134, 9], [104, 42]]",
mild_pain_03.png,mild_pain,bbox,104,6,280,231,mild_pain,,
mild_pain_03.png,mild_pain,polygon,,,,,mild_pain,"[[105, 43], [158, 7], [249, 9], [280, 77], [281, 179], [225, 230], [142, 230], [104, 163], [104, 44]]",
mild_pain_04.png,mild_pain,bbox,93,10,298,231,mild_pain,,
mild_pain_04.png,mild_pain,polygon,,,,,mild_pain,"[[92, 72], [94, 185], [144, 231], [254, 232], [300, 153], [297, 71], [238, 12], [139, 14], [90, 73]]",
