epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2629,0.91537,2.59056,1.15411,0.25052,1,0.29345,0.218,0.86485,1.7294,1.11825,0.000410256,0.000410256,0.000410256
2,25.547,0.59985,1.64265,0.97294,0.2496,1,0.48284,0.43677,0.5034,1.58575,0.99624,0.00081055,0.00081055,0.00081055
3,34.9769,0.56644,1.39309,0.95119,0.3227,0.74554,0.5377,0.40638,0.6811,2.44503,1.07256,0.00119434,0.00119434,0.00119434
4,45.8492,0.53727,1.22603,0.94463,0.58356,0.86862,0.80138,0.74318,0.41108,0.86348,0.938,0.00117575,0.00117575,0.00117575
5,57.1508,0.50148,1.12776,0.93018,0.73214,0.86641,0.93252,0.8713,0.39503,0.79041,0.95012,0.001151,0.001151,0.001151
6,67.7949,0.48673,1.03422,0.92007,0.83567,0.79158,0.87794,0.78181,0.52225,0.86693,0.97439,0.00112625,0.00112625,0.00112625
7,77.524,0.46615,0.97186,0.91273,0.78344,0.88238,0.90637,0.84587,0.3588,0.79253,0.92684,0.0011015,0.0011015,0.0011015
8,89.1767,0.4399,0.91303,0.90921,0.90435,0.82948,0.93182,0.87167,0.37133,0.69821,0.92101,0.00107675,0.00107675,0.00107675
9,100.637,0.43657,0.90113,0.91297,0.89053,0.82851,0.92471,0.87267,0.33172,0.63694,0.90417,0.001052,0.001052,0.001052
10,110.293,0.43122,0.8599,0.91185,0.82135,0.85262,0.90757,0.85569,0.34495,0.66715,0.90607,0.00102725,0.00102725,0.00102725
11,121.37,0.42002,0.8074,0.90433,0.89576,0.88509,0.96108,0.8988,0.38027,0.58493,0.9249,0.0010025,0.0010025,0.0010025
12,132.709,0.41073,0.79899,0.90193,0.86064,0.85751,0.94286,0.89162,0.33757,0.58163,0.90245,0.00097775,0.00097775,0.00097775
13,143.458,0.39447,0.74284,0.89972,0.93346,0.89805,0.95739,0.91208,0.31248,0.45411,0.89709,0.000953,0.000953,0.000953
14,153.167,0.39867,0.73926,0.89747,0.86496,0.85144,0.93856,0.90441,0.29934,0.57663,0.87573,0.00092825,0.00092825,0.00092825
15,164.582,0.38685,0.71381,0.89376,0.79319,0.9198,0.95038,0.89169,0.34228,0.68836,0.89393,0.0009035,0.0009035,0.0009035
16,176.021,0.37516,0.69764,0.89432,0.8755,0.88927,0.95071,0.89235,0.34261,0.48035,0.88975,0.00087875,0.00087875,0.00087875
17,185.825,0.38332,0.6758,0.89416,0.8828,0.88736,0.93207,0.88049,0.30977,0.51033,0.88173,0.000854,0.000854,0.000854
18,196.741,0.37148,0.66765,0.8924,0.80209,0.8869,0.95662,0.92514,0.26554,0.58183,0.86825,0.00082925,0.00082925,0.00082925
19,207.982,0.36721,0.64357,0.88717,0.93969,0.90795,0.9596,0.90924,0.3149,0.35831,0.88002,0.0008045,0.0008045,0.0008045
20,219.278,0.3607,0.64417,0.88455,0.9092,0.89587,0.94898,0.90458,0.31421,0.40908,0.89152,0.00077975,0.00077975,0.00077975
21,229.23,0.36337,0.62091,0.89151,0.85886,0.90499,0.95109,0.89461,0.32927,0.40733,0.8862,0.000755,0.000755,0.000755
22,240.981,0.35447,0.62147,0.89721,0.93765,0.86668,0.95625,0.91536,0.30562,0.38924,0.8742,0.00073025,0.00073025,0.00073025
23,252.597,0.3432,0.60427,0.88085,0.92553,0.89959,0.95964,0.92718,0.2754,0.36338,0.87094,0.0007055,0.0007055,0.0007055
24,263.407,0.34629,0.60664,0.88398,0.91833,0.87918,0.95459,0.92086,0.29594,0.44393,0.87953,0.00068075,0.00068075,0.00068075
25,273.726,0.34899,0.58731,0.89049,0.9645,0.8505,0.96259,0.92244,0.31667,0.36427,0.88881,0.000656,0.000656,0.000656
