epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0421,1.11399,1.43607,2.68136,1.23951,0,0.24952,1,0.36704,0.30987,0.24952,1,0.36704,0.3078,0.65762,0.38134,1.58951,1.04284,0,0.000410256,0.000410256,0.000410256
2,34.7962,0.72564,0.45217,1.71478,1.01505,0,0.24952,1,0.49682,0.44123,0.24952,1,0.49682,0.43943,0.52157,0.31821,1.35917,1.02383,0,0.00081055,0.00081055,0.00081055
3,50.2894,0.67029,0.42747,1.46658,0.97549,0,0.34099,0.91391,0.5425,0.45547,0.34099,0.91391,0.5425,0.45959,0.68606,0.34277,1.96564,1.13275,0,0.00119434,0.00119434,0.00119434
4,65.6859,0.65268,0.40575,1.32223,0.96776,0,0.47332,0.93686,0.67874,0.57796,0.47332,0.93686,0.67874,0.59883,0.58454,0.34249,1.32578,1.01633,0,0.00117575,0.00117575,0.00117575
5,82.1907,0.63649,0.41182,1.20518,0.95487,0,0.53391,0.81057,0.73514,0.65268,0.53391,0.81057,0.73514,0.60521,0.47929,0.3201,1.66377,0.97481,0,0.001151,0.001151,0.001151
6,97.8557,0.58912,0.40124,1.14909,0.94182,0,0.53237,0.71116,0.69879,0.64088,0.53237,0.71116,0.69879,0.62149,0.39328,0.28992,1.64451,0.94407,0,0.00112625,0.00112625,0.00112625
7,113.36,0.55784,0.37074,1.09001,0.92957,0,0.64915,0.8906,0.82864,0.76298,0.64915,0.8906,0.82864,0.73311,0.38259,0.29105,0.9297,0.94861,0,0.0011015,0.0011015,0.0011015
8,128.718,0.53554,0.38596,1.03798,0.92876,0,0.79013,0.90114,0.90244,0.84246,0.79013,0.90114,0.90244,0.80462,0.36487,0.29196,0.69993,0.93387,0,0.00107675,0.00107675,0.00107675
9,144.081,0.53641,0.41492,0.97065,0.92701,0,0.72861,0.82336,0.8633,0.814,0.72861,0.82336,0.8633,0.77367,0.33669,0.27609,0.84902,0.92358,0,0.001052,0.001052,0.001052
10,159.689,0.51882,0.32458,0.93872,0.92244,0,0.80724,0.86481,0.92622,0.86262,0.80724,0.86481,0.92622,0.818,0.3412,0.27516,0.66535,0.92483,0,0.00102725,0.00102725,0.00102725
11,175.705,0.50832,0.34412,0.92689,0.92231,0,0.90326,0.90159,0.93971,0.86612,0.90326,0.90159,0.93971,0.79381,0.38005,0.28509,0.54741,0.93088,0,0.0010025,0.0010025,0.0010025
12,191.467,0.49807,0.34926,0.90316,0.91514,0,0.90875,0.86698,0.93084,0.86305,0.90875,0.86698,0.93084,0.7954,0.38562,0.27199,0.54532,0.92957,0,0.00097775,0.00097775,0.00097775
13,207.543,0.48063,0.33855,0.86024,0.91443,0,0.90335,0.91879,0.95199,0.90189,0.90335,0.91879,0.95199,0.86835,0.32291,0.27776,0.52165,0.90967,0,0.000953,0.000953,0.000953
14,223.46,0.49373,0.35144,0.83487,0.91198,0,0.91202,0.93082,0.96168,0.91362,0.91202,0.93082,0.96168,0.86203,0.35228,0.2857,0.49776,0.90987,0,0.00092825,0.00092825,0.00092825
15,239.528,0.48281,0.35626,0.84588,0.9132,0,0.85666,0.83999,0.91858,0.86276,0.85666,0.83999,0.91858,0.81991,0.32475,0.27022,0.80232,0.9035,0,0.0009035,0.0009035,0.0009035
16,255.114,0.45621,0.34752,0.80227,0.90829,0,0.89541,0.89412,0.94567,0.86712,0.89541,0.89412,0.94567,0.78565,0.40147,0.26797,0.55744,0.91937,0,0.00087875,0.00087875,0.00087875
17,270.947,0.46944,0.34452,0.80613,0.91106,0,0.87801,0.82774,0.92801,0.86989,0.87801,0.82774,0.92801,0.82845,0.35277,0.26446,0.58911,0.91117,0,0.000854,0.000854,0.000854
18,286.853,0.46207,0.36932,0.79857,0.90746,0,0.93923,0.9091,0.96689,0.88916,0.93923,0.9091,0.96689,0.83056,0.41819,0.27107,0.51736,0.92557,0,0.00082925,0.00082925,0.00082925
19,302.331,0.45516,0.34323,0.76897,0.90431,0,0.86966,0.89446,0.95225,0.91214,0.86966,0.89446,0.95225,0.84371,0.29455,0.25572,0.53386,0.88782,0,0.0008045,0.0008045,0.0008045
20,317.971,0.44244,0.32854,0.75893,0.9012,0,0.82581,0.89411,0.94225,0.88783,0.82581,0.89411,0.94225,0.85083,0.34243,0.27994,0.69931,0.90701,0,0.00077975,0.00077975,0.00077975
21,333.855,0.4456,0.34214,0.763,0.9066,0,0.8601,0.8376,0.93234,0.89422,0.8601,0.8376,0.93234,0.81369,0.31198,0.25343,0.65648,0.8882,0,0.000755,0.000755,0.000755
22,349.606,0.45531,0.34576,0.7382,0.91158,0,0.81792,0.91309,0.95017,0.91764,0.81792,0.91309,0.95017,0.83263,0.28969,0.2607,0.57274,0.87963,0,0.00073025,0.00073025,0.00073025
23,365.37,0.4281,0.33309,0.72377,0.90015,0,0.95789,0.93699,0.96623,0.93639,0.95789,0.93699,0.96623,0.87782,0.28685,0.24476,0.37329,0.87537,0,0.0007055,0.0007055,0.0007055
24,381.157,0.4289,0.35619,0.70914,0.89886,0,0.95265,0.93081,0.97537,0.93312,0.95265,0.93081,0.97537,0.88173,0.31226,0.25151,0.37359,0.88199,0,0.00068075,0.00068075,0.00068075
25,397.326,0.42346,0.32779,0.6962,0.90232,0,0.97213,0.95176,0.97716,0.95486,0.97213,0.95176,0.97716,0.85314,0.26755,0.27254,0.30044,0.87248,0,0.000656,0.000656,0.000656
26,413.113,0.41524,0.33441,0.67904,0.90177,0,0.86256,0.90346,0.96738,0.95122,0.86256,0.90346,0.96738,0.84609,0.25787,0.243,0.5229,0.86539,0,0.00063125,0.00063125,0.00063125
27,429.232,0.41964,0.32983,0.70338,0.89845,0,0.94426,0.93399,0.97023,0.91328,0.94426,0.93399,0.97023,0.87359,0.33465,0.24931,0.39282,0.89559,0,0.0006065,0.0006065,0.0006065
28,444.983,0.40172,0.295,0.67146,0.89432,0,0.8736,0.93945,0.97359,0.93645,0.8736,0.93945,0.97359,0.87307,0.27805,0.24513,0.45159,0.87284,0,0.00058175,0.00058175,0.00058175
29,460.604,0.40923,0.30495,0.65917,0.89821,0,0.84698,0.93498,0.9738,0.94322,0.84698,0.93498,0.9738,0.84525,0.28986,0.24909,0.47279,0.87435,0,0.000557,0.000557,0.000557
30,476.291,0.40439,0.34001,0.64245,0.8995,0,0.80723,0.89013,0.96709,0.92122,0.80723,0.89013,0.96709,0.82972,0.32026,0.26718,0.63687,0.89668,0,0.00053225,0.00053225,0.00053225
31,491.803,0.40041,0.34432,0.64538,0.89331,0,0.96863,0.94656,0.97784,0.95568,0.96863,0.94656,0.97784,0.86945,0.25509,0.25135,0.30895,0.86473,0,0.0005075,0.0005075,0.0005075
32,507.367,0.39614,0.33396,0.63155,0.90185,0,0.91262,0.91617,0.97034,0.9391,0.91262,0.91617,0.97034,0.85702,0.30015,0.25656,0.42394,0.8738,0,0.00048275,0.00048275,0.00048275
33,522.993,0.39273,0.32925,0.59798,0.89172,0,0.93335,0.96971,0.98318,0.9352,0.93335,0.96971,0.98318,0.85972,0.34185,0.31458,0.31246,0.89221,0,0.000458,0.000458,0.000458
34,538.411,0.37704,0.28354,0.5902,0.88825,0,0.97661,0.94912,0.98904,0.97126,0.97661,0.94912,0.98904,0.87582,0.25929,0.23842,0.25852,0.86248,0,0.00043325,0.00043325,0.00043325
35,554.008,0.38225,0.33592,0.61229,0.88578,0,0.96738,0.9704,0.98241,0.95863,0.96738,0.9704,0.98241,0.85872,0.27243,0.24173,0.29266,0.86891,0,0.0004085,0.0004085,0.0004085
36,569.632,0.37109,0.29261,0.61916,0.88581,0,0.97509,0.94916,0.98058,0.95468,0.97509,0.94916,0.98058,0.87401,0.26448,0.24777,0.29449,0.86756,0,0.00038375,0.00038375,0.00038375
37,585.312,0.37903,0.30932,0.58409,0.88396,0,0.9735,0.94966,0.97889,0.95929,0.9735,0.94966,0.97889,0.89567,0.25078,0.23985,0.29281,0.86064,0,0.000359,0.000359,0.000359
38,601.088,0.37783,0.2908,0.59063,0.89159,0,0.97032,0.92901,0.98042,0.96571,0.97032,0.92901,0.98042,0.8849,0.24009,0.24428,0.3105,0.85949,0,0.00033425,0.00033425,0.00033425
39,616.908,0.36504,0.32256,0.57412,0.88625,0,0.96313,0.96017,0.98478,0.96516,0.96313,0.96017,0.98478,0.87151,0.23885,0.26048,0.27443,0.86033,0,0.0003095,0.0003095,0.0003095
40,632.441,0.36391,0.30501,0.57162,0.8829,0,0.95981,0.96393,0.98353,0.96928,0.95981,0.96393,0.98353,0.86637,0.23639,0.27302,0.29026,0.85846,0,0.00028475,0.00028475,0.00028475
41,648.636,0.26896,0.22432,0.3433,0.8155,0,0.97329,0.94332,0.98655,0.96528,0.97329,0.94332,0.98655,0.87061,0.26218,0.24076,0.32911,0.86766,0,0.00026,0.00026,0.00026
42,662.032,0.26083,0.2064,0.28757,0.8146,0,0.95018,0.97071,0.98346,0.96099,0.95018,0.97071,0.98346,0.87189,0.2583,0.24684,0.2674,0.86816,0,0.00023525,0.00023525,0.00023525
43,675.695,0.25009,0.21814,0.28753,0.80627,0,0.95387,0.94231,0.9849,0.95313,0.95387,0.94231,0.9849,0.86826,0.27466,0.24416,0.29574,0.86447,0,0.0002105,0.0002105,0.0002105
44,689.638,0.25826,0.21868,0.26833,0.81431,0,0.97577,0.96984,0.98631,0.96831,0.97577,0.96984,0.98631,0.87028,0.24469,0.24767,0.23134,0.85937,0,0.00018575,0.00018575,0.00018575
45,704.225,0.24432,0.2042,0.25177,0.80494,0,0.97929,0.96689,0.98533,0.96487,0.97929,0.96689,0.98533,0.88158,0.2445,0.24096,0.23048,0.85768,0,0.000161,0.000161,0.000161
46,718.612,0.2394,0.19229,0.23566,0.79984,0,0.96615,0.97057,0.98696,0.97578,0.96615,0.97057,0.98696,0.88584,0.23062,0.23725,0.23183,0.85583,0,0.00013625,0.00013625,0.00013625
